	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Tox5	0	3.262430661	0.485	0.054	0	nk_cell	Tox
Ptprc3	0	3.253726233	0.964	0.281	0	nk_cell	Ptprc
Ccl5	0	3.202382515	0.38	0.002	0	nk_cell	Ccl5
Ms4a4b	0	3.144480407	0.507	0.016	0	nk_cell	Ms4a4b
Samd3	0	3.117097969	0.478	0.001	0	nk_cell	Samd3
Ikzf13	0	3.087769636	0.78	0.193	0	nk_cell	Ikzf1
Tbx211	0	3.032394863	0.411	0.011	0	nk_cell	Tbx21
Klra8	0	3.026039146	0.289	0	0	nk_cell	Klra8
Arhgap153	0	2.986149892	0.917	0.239	0	nk_cell	Arhgap15
Satb11	0	2.976486403	0.488	0.059	0	nk_cell	Satb1
